count_id,depth_cm,Raphia,Uapaca,Alchornea,Elaeis,Poaceae,Cyperaceae,Syzygium,Macaranga,Pandanus,Musanga,lycopodium_count,notes
PC-0400,1.0,62,77,72,77,322,365,27,23,12,14,105,
PC-0401,3.0,51,71,64,79,359,386,37,16,8,8,52,
PC-0402,5.0,42,67,61,81,303,389,27,13,11,13,87,
PC-0403,7.0,51,64,67,66,301,426,38,15,12,11,225,
PC-0404,9.0,53,66,58,74,357,439,38,12,12,7,123,
PC-0405,11.0,51,80,46,89,366,370,34,26,14,11,99,
PC-0406,13.0,57,64,61,82,341,363,22,15,12,9,122,
PC-0407,15.0,52,55,63,91,355,374,36,23,10,11,222,
PC-0408,17.0,52,91,56,80,322,416,39,16,16,11,58,
PC-0409,19.0,51,80,71,79,362,385,29,17,5,12,104,
PC-0410,21.0,63,57,73,87,348,408,26,20,14,10,51,
PC-0411,23.0,38,73,57,84,351,375,30,19,8,10,110,
PC-0412,25.0,48,76,56,84,342,435,36,25,6,4,115,
PC-0413,27.0,40,80,65,98,355,404,32,15,17,14,197,
PC-0414,29.0,33,59,59,82,340,416,33,14,7,5,93,
PC-0415,31.0,45,218,139,94,167,259,72,38,38,27,207,
PC-0416,33.0,36,246,153,71,169,242,68,38,41,26,417,
PC-0417,35.0,41,202,175,54,178,269,79,39,28,31,182,
PC-0418,37.0,34,203,133,63,167,249,64,39,25,32,108,
PC-0419,39.0,36,221,160,72,166,276,63,57,26,34,198,
PC-0420,41.0,43,232,134,80,172,197,49,49,36,27,177,
PC-0421,43.0,27,223,160,68,154,257,60,37,26,20,283,
PC-0422,45.0,38,227,142,84,169,271,59,31,28,27,170,
PC-0423,47.0,49,222,141,74,158,277,69,23,26,25,183,
PC-0424,49.0,44,225,146,81,185,264,62,41,42,29,85,
PC-0425,51.0,31,228,134,77,169,217,57,35,25,32,293,
PC-0426,53.0,52,194,115,69,189,217,82,42,44,22,76,
PC-0271,55.0,10,117,34,20,78,95,24,15,16,3,61,slide cracked at 412 grains; superseded by PC-0316
PC-0316,55.0,51,247,162,79,169,220,66,47,26,26,156,recount; supersedes PC-0271
PC-0428,57.0,44,219,141,75,155,254,74,39,35,25,149,
PC-0429,59.0,37,235,162,63,167,260,77,48,26,21,153,
PC-0430,61.0,595,127,86,51,24,31,36,23,22,11,241,
PC-0431,63.0,604,151,71,44,27,36,47,29,14,16,59,
PC-0432,65.0,624,141,68,47,29,27,46,20,15,12,114,
PC-0433,67.0,587,153,85,43,23,35,49,25,25,14,150,
PC-0434,69.0,627,139,89,55,34,36,48,24,16,21,156,
PC-0435,71.0,587,140,88,46,23,28,45,22,21,21,234,
PC-0436,73.0,613,146,105,42,24,35,46,27,23,15,138,
PC-0437,75.0,596,156,97,45,23,25,51,20,22,15,129,
PC-0438,77.0,564,132,84,48,23,41,47,26,25,18,120,
PC-0439,79.0,627,121,98,39,35,36,45,27,18,16,70,
PC-0440,81.0,621,133,110,41,26,36,43,22,28,15,108,
PC-0441,83.0,673,124,88,47,26,29,42,28,25,24,119,
PC-0442,85.0,639,110,82,42,26,35,29,26,27,11,131,
PC-0443,87.0,573,134,107,33,18,36,39,29,27,17,66,
PC-0444,89.0,597,116,92,53,27,31,35,24,18,16,217,
PC-0445,91.0,598,138,87,41,26,33,41,23,25,13,101,
PC-0446,93.0,628,122,73,53,28,31,38,20,26,16,85,
PC-0447,95.0,585,135,111,51,29,29,51,31,14,26,55,
PC-0448,97.0,611,112,86,45,28,34,40,26,22,16,237,
PC-0449,99.0,629,137,93,42,20,42,32,19,23,12,94,
PC-0450,101.0,598,143,98,28,34,29,51,17,23,17,120,
PC-0451,103.0,631,157,91,53,34,34,43,21,26,18,132,
PC-0452,105.0,585,133,102,41,21,37,36,17,35,13,108,
PC-0453,107.0,653,121,90,35,34,34,43,19,16,15,45,
PC-0454,109.0,650,120,88,49,23,34,45,22,33,18,222,
PC-0455,111.0,619,144,95,36,15,35,48,22,20,14,113,
PC-0456,113.0,636,106,85,35,25,30,35,15,25,12,179,
PC-0457,115.0,614,164,83,54,31,44,50,24,29,18,127,
PC-0458,117.0,589,145,70,48,25,31,49,26,16,16,89,
PC-0459,119.0,657,118,92,39,27,29,35,24,20,17,60,
PC-0460,121.0,595,130,69,52,23,37,48,23,15,10,94,
PC-0461,123.0,620,124,81,49,20,39,45,18,22,10,207,
PC-0462,125.0,576,145,94,54,29,31,48,25,24,16,49,
PC-0463,127.0,643,158,90,47,25,39,54,22,17,9,108,
PC-0464,129.0,638,139,88,31,34,20,44,26,19,19,110,
PC-0465,131.0,640,155,88,47,27,21,27,32,28,12,102,
PC-0466,133.0,607,142,102,42,26,40,39,23,23,21,121,
PC-0467,135.0,601,139,87,53,26,37,43,11,23,18,56,
PC-0468,137.0,641,127,77,43,18,33,43,25,26,16,99,
PC-0469,139.0,619,147,110,41,31,40,61,30,24,7,217,
